,Algo,Kernal,depthORk,TrainSize,TestSize,NotDeleted,Deleted,Time,TrainingResult,TestResult,F1_SCORE,Accuracy,JaccardScore,PRECISION,RECALL,"0,0","0,1","1,0","1,1"
32,DecisionTree,log_loss,1,338230,84558,,,1.303373575,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
33,DecisionTree,gini,1,338230,84558,,,1.163230658,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
34,DecisionTree,entropy,1,338230,84558,,,1.298265934,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
35,DecisionTree,log_loss,1,338230,84558,,,1.300351858,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
36,DecisionTree,gini,1,338230,84558,,,1.162599325,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
37,DecisionTree,entropy,1,338230,84558,,,1.304325819,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
38,DecisionTree,log_loss,1,338230,84558,,,1.301779747,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
39,DecisionTree,gini,1,338230,84558,,,1.169661045,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
40,DecisionTree,entropy,1,338230,84558,,,1.311332464,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
41,DecisionTree,log_loss,1,338230,84558,,,1.298100233,0.645859326,0.648040398,0.736233836,0.648040398,0.582571252,0.588731396,0.982356141,13262,29015,746,41535
42,DecisionTree,gini,1,338230,84558,,,1.163571119,0.653141354,0.655514558,0.738145108,0.655514558,0.584968298,0.595359629,0.971027175,14373,27904,1225,41056
